"fruits","CHD","52","low",0.9584
"fruits","CHD","52","high",0.99
"fruits","CHD","53","mean",0.9782
"fruits","CHD","53","low",0.9576
"fruits","CHD","53","high",0.99
"fruits","CHD","54","mean",0.9776
"fruits","CHD","54","low",0.9568
"fruits","CHD","54","high",0.99
"fruits","CHD","55","mean",0.977
"fruits","CHD","55","low",0.956
"fruits","CHD","55","high",0.99
"fruits","CHD","56","mean",0.9764
"fruits","CHD","56","low",0.9552
"fruits","CHD","56","high",0.99
"fruits","CHD","57","mean",0.9758
"fruits","CHD","57","low",0.9544
"fruits","CHD","57","high",0.99
"fruits","CHD","58","mean",0.9752
"fruits","CHD","58","low",0.9536
"fruits","CHD","58","high",0.99
"fruits","CHD","59","mean",0.9746
"fruits","CHD","59","low",0.9528
"fruits","CHD","59","high",0.99
"fruits","CHD","60","mean",0.974
"fruits","CHD","60","low",0.952
"fruits","CHD","60","high",0.99
"fruits","CHD","61","mean",0.9734
"fruits","CHD","61","low",0.9512
"fruits","CHD","61","high",0.99
"fruits","CHD","62","mean",0.9728
"fruits","CHD","62","low",0.9504
"fruits","CHD","62","high",0.99
"fruits","CHD","63","mean",0.9722
"fruits","CHD","63","low",0.9496
"fruits","CHD","63","high",0.99
"fruits","CHD","64","mean",0.9716
"fruits","CHD","64","low",0.9488
"fruits","CHD","64","high",0.99
"fruits","CHD","65","mean",0.971
"fruits","CHD","65","low",0.948
"fruits","CHD","65","high",0.99
"fruits","CHD","66","mean",0.9704
"fruits","CHD","66","low",0.9472
"fruits","CHD","66","high",0.99
"fruits","CHD","67","mean",0.9698
"fruits","CHD","67","low",0.9464
"fruits","CHD","67","high",0.99
"fruits","CHD","68","mean",0.9692
"fruits","CHD","68","low",0.9456
"fruits","CHD","68","high",0.99
"fruits","CHD","69","mean",0.9686
"fruits","CHD","69","low",0.9448
"fruits","CHD","69","high",0.99
"fruits","CHD","70","mean",0.968
"fruits","CHD","70","low",0.944
"fruits","CHD","70","high",0.99
"fruits","CHD","71","mean",0.9674
"fruits","CHD","71","low",0.9432
"fruits","CHD","71","high",0.99
"fruits","CHD","72","mean",0.9668
"fruits","CHD","72","low",0.9424
"fruits","CHD","72","high",0.99
"fruits","CHD","73","mean",0.9662
"fruits","CHD","73","low",0.9416
"fruits","CHD","73","high",0.99
"fruits","CHD","74","mean",0.9656
"fruits","CHD","74","low",0.9408
"fruits","CHD","74","high",0.99
"fruits","CHD","75","mean",0.965
"fruits","CHD","75","low",0.94
"fruits","CHD","75","high",0.99
"fruits","CHD","76","mean",0.9644
"fruits","CHD","76","low",0.9392
"fruits","CHD","76","high",0.99
"fruits","CHD","77","mean",0.9638
"fruits","CHD","77","low",0.9384
"fruits","CHD","77","high",0.99
"fruits","CHD","78","mean",0.9632
"fruits","CHD","78","low",0.9376
"fruits","CHD","78","high",0.99
"fruits","CHD","79","mean",0.9626
"fruits","CHD","79","low",0.9368
"fruits","CHD","79","high",0.99
"fruits","CHD","80","mean",0.962
"fruits","CHD","80","low",0.936
"fruits","CHD","80","high",0.99
"fruits","CHD","81","mean",0.9614
"fruits","CHD","81","low",0.9352
"fruits","CHD","81","high",0.99
"fruits","CHD","82","mean",0.9608
"fruits","CHD","82","low",0.9344
"fruits","CHD","82","high",0.99
"fruits","CHD","83","mean",0.9602
"fruits","CHD","83","low",0.9336
"fruits","CHD","83","high",0.99
"fruits","CHD","84","mean",0.9596
"fruits","CHD","84","low",0.9328
"fruits","CHD","84","high",0.99
"fruits","CHD","85","mean",0.959
"fruits","CHD","85","low",0.932
"fruits","CHD","85","high",0.99
"fruits","CHD","86","mean",0.9584
"fruits","CHD","86","low",0.9312
"fruits","CHD","86","high",0.99
"fruits","CHD","87","mean",0.9578
"fruits","CHD","87","low",0.9304
"fruits","CHD","87","high",0.99
"fruits","CHD","88","mean",0.9572
"fruits","CHD","88","low",0.9296
"fruits","CHD","88","high",0.99
"fruits","CHD","89","mean",0.9566
"fruits","CHD","89","low",0.9288
"fruits","CHD","89","high",0.99
"fruits","CHD","90","mean",0.956
"fruits","CHD","90","low",0.928
"fruits","CHD","90","high",0.99
"fruits","CHD","91","mean",0.9554
"fruits","CHD","91","low",0.9272
"fruits","CHD","91","high",0.99
"fruits","CHD","92","mean",0.9548
"fruits","CHD","92","low",0.9264
"fruits","CHD","92","high",0.99
